0.82, 0.42, -0.00, 5907
0.89, 0.27, -0.21, 5920
0.92, 0.02, -0.24, 5933
0.91, 0.12, 0.01, 5945
0.89, 0.38, 0.34, 5958
0.91, 0.42, 0.43, 5971
0.93, 0.36, 0.37, 5984
0.92, 0.30, 0.31, 5996
0.83, 0.26, 0.46, 6009
0.72, 0.21, 0.64, 6024
0.69, 0.29, 0.71, 6037
0.74, 0.30, 0.64, 6050
0.80, 0.25, 0.47, 6062
0.77, 0.20, 0.45, 6075
0.70, 0.25, 0.48, 6088
0.67, 0.28, 0.56, 6100
0.62, 0.32, 0.62, 6113
0.59, 0.40, 0.64, 6126
0.53, 0.41, 0.64, 6139
0.56, 0.44, 0.52, 6151
0.60, 0.43, 0.52, 6221
0.66, 0.27, 0.55, 6233
0.62, 0.26, 0.57, 6246
0.55, 0.25, 0.66, 6259
0.55, 0.41, 0.63, 6272
0.54, 0.44, 0.54, 6284
0.53, 0.51, 0.46, 6297
0.52, 0.44, 0.50, 6310
0.42, 0.24, 0.66, 6323
0.36, 0.29, 0.76, 6335
0.39, 0.35, 0.85, 6350
0.57, 0.20, 0.73, 6363
0.79, 0.07, 0.50, 6376
0.97, 0.18, 0.42, 6389
0.82, 0.26, 0.47, 6401
0.62, 0.46, 0.42, 6414
0.35, 0.50, 0.29, 6427
0.32, 0.40, 0.17, 6439
0.60, 0.24, 0.07, 6452
0.92, 0.13, 0.14, 6465
1.21, 0.14, 0.36, 6478
1.17, 0.01, 0.46, 6490
0.93, -0.11, 0.60, 6503
0.72, 0.06, 0.84, 6516
0.64, 0.23, 1.06, 6529
0.61, 0.23, 1.17, 6541
0.59, 0.22, 1.15, 6554
0.56, 0.17, 1.14, 6567
0.53, 0.17, 1.09, 6580
0.48, 0.23, 1.04, 6592
0.45, 0.23, 1.01, 6605
0.45, 0.09, 0.82, 6618
0.47, 0.02, 0.57, 6689
0.67, 0.21, 0.00, 6702
0.70, 0.23, 0.06, 6715
0.75, 0.22, 0.10, 6728
0.71, 0.22, 0.13, 6740
0.63, 0.23, 0.23, 6753
0.46, 0.18, 0.41, 6766
0.36, 0.19, 0.50, 6779
0.38, 0.20, 0.47, 6791
0.39, 0.11, 0.41, 6804
0.42, 0.09, 0.40, 6817
0.47, 0.13, 0.43, 6829
0.49, 0.27, 0.54, 6842
0.47, 0.31, 0.49, 6855
0.37, 0.24, 0.33, 6868
0.33, 0.19, 0.23, 6880
0.40, 0.34, 0.16, 6893
0.48, 0.37, 0.01, 6906
0.53, 0.26, -0.07, 6919
0.59, 0.27, -0.08, 6931
0.60, 0.28, -0.11, 6944
0.53, 0.17, -0.15, 6959
0.44, 0.05, -0.22, 6972
0.42, 0.08, -0.05, 6985
0.45, 0.25, 0.28, 6997
0.51, 0.31, 0.42, 7010
0.49, 0.25, 0.63, 7023
0.37, 0.15, 0.74, 7036
